date,userID,airline,text,sentiment
11/16/2020 19:06,1.33E+18,American,"I highly recommend never flying @AmericanAir EVER AGAIN.  Poorest customer service, Dishonest flight attendants, Th… https://t.co/y6G0mXE5pc",0
11/17/2020 22:02,1.33E+18,American,"Yesterday I had some trouble with @AmericanAir, however LESS THAN 24 hours later Corporate Customer service took sw… https://t.co/CroB9ugmFI",0
11/14/2020 22:12,1.33E+18,American,"The last 6 hours of my life have been draining &amp; traumatizing. 

Today I got arrested for the first time because a… https://t.co/ZnqIWHyu1e",0
11/17/2020 22:37,1.33E+18,American,@pbarbieri @AmericanAir Classic,0
11/17/2020 22:37,1.33E+18,American,RT @yesjaketapia: Had to get off my flight because a man asked a Muslim woman to get off the plane. @AmericanAir employees followed his req…,0
11/17/2020 22:36,1.33E+18,American,"@MarcusTriton @KittyGOG @AmericanAir Lol, this dude is a literal flat Earther! Check his profile.",0
11/17/2020 22:36,1.33E+18,American,Check out this interesting article from @AmericanAir:  https://t.co/0mJp7cEyAk,0
11/17/2020 22:36,1.33E+18,American,"RT @tromagirl: A Muslim woman was removed from a plane and arrested for refusing to remove her hijab. 

Eat shit, @AmericanAir.",0
11/17/2020 22:36,1.33E+18,American,"A Muslim woman was removed from a plane and arrested for refusing to remove her hijab. 

Eat shit, @AmericanAir.",0
11/17/2020 22:35,1.33E+18,American,"RT @AMANI2020: The last 6 hours of my life have been draining &amp; traumatizing. 

Today I got arrested for the first time because a man that…",0
11/17/2020 22:34,1.33E+18,American,RT @FALLINGF0RLOUIS: American Airlines (@AmericanAir) de-boards flight and has Muslim woman arrested after a white male first class passeng…,0
11/17/2020 22:34,1.33E+18,American,"RT @AmericanAir: #COVID19 testing is the safest way to get the world flying again.

Together with @oneworld and @british_airways, our custo…",0
11/17/2020 22:31,1.33E+18,American,@AMANI2020 @AmericanAir is this how you treat paying customers? With discrimination?,0
11/17/2020 22:29,1.33E+18,American,@KittyGOG @sjswitzer @AmericanAir You can't breath because you're wearing a damn mask.....,0
11/17/2020 22:29,1.33E+18,American,@ChuckCallesto @AmericanAir Come on over to the good life: @united,0
11/14/2020 22:11,1.33E+18,American,RT @AmericanAir: Thinking about heading home for the holidays? Learn how we're keeping you safe when you fly.,0
11/14/2020 22:11,1.33E+18,American,"@kayotickat @jumpropehijabi @AmericanAir @AMANI2020 Karen, you leave her alone. She followed an unedited, live stre… https://t.co/nrFn1u5wCI",0
11/14/2020 22:11,1.33E+18,American,@AmericanAir I miss traveling with you guys 😕,0
11/14/2020 22:11,1.33E+18,American,"@AmericanAir is responsible for the detainment of a Muslim woman, who had reported being harassed. Once again... Th… https://t.co/vhUErDN3dw",0
11/14/2020 22:11,1.33E+18,American,Hi @Barclays I've consistently used my @AmericanAir #AAdvantage Aviator Silver card during the pandemic. So I'm not… https://t.co/5A2RQyYIki,0
11/14/2020 22:11,1.33E+18,American,Appreciation post for the ERJ 140 &amp; ERJ-175 departing CLT @AmericanAir @envoyaircareers @RepublicAirways #aviation… https://t.co/0P7PQdqq6D,0
